"Timestamp","Questionnaire number","Community","   Interviewer","Date","Age","Gender","Level of Education","Occupation","Current employer","Household size","Number of years stayed in the community","Which of the following COVID-19 sanitation protocols are you familiar with?","Compliance with COVID-19 sanitation protocols has improved your sanitary habits.","COVID-19 encouraged compliance to/ brought about the enforcement of sanitation measures in your locality.","Have you or anyone in your family had diarrhoea since the COVID-19 pandemic?","Did you see any health campaigns or initiatives in your community that promoted good sanitation practices during the COVID-19 pandemic? ","Compliance with COVID-19 sanitation protocols has helped reduce the occurrence of diarrhoea-related diseases.","Have you or any member of your family experienced episodes of diarrhoea in the past six months?","How frequently have you or your family members experienced diarrhoea in the past six months?","Are you aware of any specific causes or triggers for diarrhoea? ","Have you sought medical assistance or treatment for diarrhoea episodes? ","If Yes, please specify the type of healthcare professional you consulted","Have you or any family members been hospitalized due to severe diarrhoea? ","Do you know anyone in your community or neighbourhood who has had diarrhoea-related diseases in the past year?","Have you or any family member received vaccinations or preventive measures against diarrhoea-related diseases?","What has been an extreme case experienced or known to have happened to anyone from diarrhoea-related disease?","Are you aware of any ongoing efforts or programs in your community to prevent or manage diarrhoea-related diseases?","If yes, please mention any","How knowledgeable do you consider yourself about the causes, prevention, and treatment of diarrhea-related diseases? 
1= Very knowledgeable, 2= Somewhat knowledgeable, 3= Not very knowlegeable, 4= Not knowledgeable at all","During COVID-19, diarrhoea-related diseases were not prevalent.","Washing your hands regularly with soap under running water can help reduce diarrhoea-related diseases.","Using alcohol-based hand sanitizer can help kill bacteria that cause diarrhoea-related diseases.","Do you think the COVID-19 sanitation protocol helped reduced the occurrence of diarrhoea-related diseases in your neighbourhood?","If Yes, can you mention some of the COVID-19 sanitation protocols?","Have you made any changes in your cleaning routines or hygiene practices at home due to the COVID-19 pandemic?","Have you seen any improvements in public restrooms or washroom facilities in terms of cleanliness since the COVID-19 pandemic? ","How do you dispose of waste after COVID-19?","Has the COVID-19 pandemic increased your awareness about the importance of sanitation in preventing diseases like diarrhoea? ","On a scale of 1-5, how well has the sanitation of your community improved after COVID-19?
1=Highly improved, 2=Improved, 3=No observable change, 4=Reduced sanitation, 5=Extremely reduced sanitation","Would you recommend strict adherence to some protocols to continue after the pandemic to prevent diarrhoea-related diseases?","Would you recommend continuing the campaign/education on COVID-19 protocols after the pandemic to prevent diarrhoea-related diseases?","What other recommendations would you give to improve sanitation practices in your community and prevent diarrhoea-related diseases in the future?"
"2023/07/19 12:25:02 PM GMT","5","Aboabo","Nana Aba ","08-02","21  - 30","Female","SHS","Trader","Self-employed","1 -  5","1-10","Hand washing;Use of hand sanitisers","Strongly Agreee","Strongly Agree","No","Yes","Yes","No","None","Contaminated food and water","No","","No","No","No","","Yes","","2","Strongly agree","Agree","Agree","Yes","Hand washing, using sanitizers","No","No","Bin","Strongly agree","2","Yes","Yes",""
"2023/07/19 12:32:36 PM GMT","011","Aboabo","Patrick ","07-19","31 - 40","Male","JHS/Middle","Fashion designer ","Self-employed","1 -  5","21-30","Hand washing;Use of hand sanitisers","Strongly Agreee","Strongly Agree","No","No","Yes","No","None","Contaminated food and water;Travel to high-risk areas","No","","No","No","No","Not sure","No","","1","Strongly agree","Strongly agree","Strongly agree","Yes","Hand washing, wearing nose mask, social distancing ","Yes","Yes","Bin","Strongly agree","1","Yes","Yes","Using hand sanitizer, washing hands and general sanitation "
"2023/07/19 12:35:09 PM GMT","6","Aboabo","Nana Aba","04-11","51 - 60","Male","SHS","Trader","Self-employed","16-20","Above 40","Hand washing","Strongly Agreee","Agree","No","Yes","Yes","No","None","Not sure","No","","Yes","Yes","No","","No","","3","Strongly agree","Strongly agree","Strongly agree","Yes","","Yes","Yes","Bin","Neutral","1","Yes","Yes",""
"2023/07/19 12:36:45 PM GMT","PBD3 ","Aboabo","Paul Damoah ","07-19","51 - 60","Male","JHS/Middle","Fashion Designer ","Self-employed","1 -  5","Above 40","Hand washing","Agree","Strongly Agree","No","No","Yes","No","None","Contaminated food and water","No","","No","No","No","Not sure","No","","3","Strongly agree","Strongly agree","Strongly agree","Yes","","No","Yes","Bin","Strongly agree","2","Yes","Yes",""
"2023/07/19 12:41:11 PM GMT","014","Aboabo","Patrick ","07-18","41 - 50","Male","JHS/Middle","Fashion designer ","Self-employed","11-15","21-30","Hand washing;Use of hand sanitisers","Strongly Agreee","Strongly Agree","No","No","Yes","No","None","Contaminated food and water","No","","No","No","No","Not sure","No","","2","Agree","Strongly agree","Strongly agree","Yes","Hand washing, sanitizer ","Yes","Yes","Bin","Strongly agree","2","Yes","Yes","Wash hands, use sanitizer "
"2023/07/19 12:44:12 PM GMT","7","Aboabo","Nana Aba ","02-14","41 - 50","Male","JHS/Middle","Fashion designer ","Self-employed","1 -  5","1-10","Hand washing","Agree","Agree","No","Yes","Yes","No","None","Not sure","Yes","Doctor","No","Yes","No","","No","","3","Agree","Agree","Agree","Yes","","Yes","No","Bin","Agree","2","Yes","Yes",""
"2023/07/19 12:50:35 PM GMT","9","Aboabo","Nana Aba","08-15","21  - 30","Male","SHS","Footballer","Private Organization/Institution","1 -  5","21-30","None","Agree","Agree","No","Yes","Yes","No","None","Contaminated food and water","No","","No","No","No","","Yes","","2","Agree","Strongly agree","Agree","Yes","Hand washing ","Yes","Yes","Bin","Agree","2","Yes","Yes",""
"2023/07/19 12:53:51 PM GMT","018","Aboabo","Patrick ","07-18","21  - 30","Male","Vocational/Technical","Graphic designer ","Self-employed","1 -  5","21-30","Hand washing;Use of hand sanitisers;Disinfection of surfaces","Strongly Agreee","Strongly Agree","No","No","Yes","No","None","Contaminated food and water","No","","No","No","No","Not sure","No","","1","Agree","Strongly agree","Strongly agree","Yes","Hand washing, hand sanitizer ","Yes","No","Bin","Strongly agree","1","Yes","Yes","Be aware of yourself and practice good sanitation "
"2023/07/19 12:56:46 PM GMT","10","Aboabo","Nana Aba","08-25","10 - 20","Male","SHS","Student","","6 -10","11-20","Hand washing;Use of hand sanitisers","Disagree","Disagree","No","No","Yes","No","None","Not sure","No","","No","No","No","","Yes","","3","Neutral","Agree","Disagree","No","","Yes","No","Bin","Agree","2","Yes","Yes",""
"2023/07/19 12:58:31 PM GMT","PBD4","Aboabo","Paul ","07-19","21  - 30","Female","SHS","Self employed ","Self-employed","1 -  5","1-10","Hand washing","Strongly Agreee","Strongly Agree","No","Yes","No","No","None","Contaminated food and water","No","","Yes","Yes","No","Not sure","Yes","","2","Strongly agree","Strongly agree","Strongly agree","Yes","","Yes","Yes","Bin","Strongly agree","2","No","Yes",""
"2023/07/19 1:04:52 PM GMT","11","Aboabo","Nana Aba","02-06","31 - 40","Female","SHS","Trader","Self-employed","6 -10","1-10","Use of hand sanitisers","Strongly Agreee","Strongly Agree","No","Yes","Yes","No","None","Contaminated food and water","No","","No","No","No","","Yes","Red-cross","2","Agree","Strongly agree","Agree","Yes","Hand washing, sanitizers","Yes","Yes","Bin","Strongly agree","3","Yes","Yes",""
"2023/07/19 1:06:33 PM GMT","020","Aboabo","Patrick ","07-23","31 - 40","Female","JHS/Middle","Seller","Self-employed","1 -  5","1-10","Hand washing;Use of hand sanitisers;Disinfection of surfaces","Strongly Agreee","Strongly Agree","No","No","Yes","No","None","Contaminated food and water","No","","No","No","No","Not sure","No","","2","Agree","Strongly agree","Agree","Yes","Hand washing, using hand sanitizer ","Yes","No","Bin","Strongly agree","2","Yes","Yes",""
"2023/07/19 1:10:39 PM GMT","12","Aboabo","Nana Aba","04-16","41 - 50","Female","JHS/Middle","Trader","Self-employed","16-20","Above 40","Hand washing","Strongly Agreee","Strongly Agree","No","Yes","Not sure","No","None","Contaminated food and water","No","","No","No","No","","Yes","","3","Agree","Agree","Agree","Yes","","Yes","No","Bin","Strongly agree","2","Yes","Yes",""
"2023/07/19 1:13:22 PM GMT","PBD5","Aboabo","Paul","07-19","21  - 30","Female","SHS","Private ","Private Organization/Institution","6 -10","21-30","Hand washing","Strongly Agreee","Strongly Agree","Yes","Yes","Yes","No","","Contaminated food and water","No","","No","No","No","Not sure","Yes","","1","Agree","Agree","Neutral","Yes","","Yes","Yes","Bin","Agree","2","No","Yes",""
"2023/07/19 1:19:01 PM GMT","025","Aboabo","Patrick ","07-18","41 - 50","Female","Primary","Seller ","Self-employed","16-20","1-10","Hand washing;Use of hand sanitisers;Disinfection of surfaces","Strongly Agreee","Strongly Agree","No","No","Yes","No","None","Contaminated food and water","No","","No","No","No","Not sure","No","","2","Strongly agree","Strongly agree","Strongly agree","Yes","Washing hands, wearing nose mask, social distancing ","Yes","Yes","Bin","Strongly agree","3","Yes","Yes",""
"2023/07/19 1:22:05 PM GMT","12","Aboabo","Nana Aba","","41 - 50","Female","JHS/Middle","Trader","Self-employed","16-20","1-10","None","Agree","Agree","No","Yes","Not sure","No","None","Not sure","No","","No","No","No","","No","","4","Neutral","Neutral","Neutral","Yes","","Yes","No","Bin","Agree","3","Yes","Yes",""
"2023/07/19 1:26:08 PM GMT","027","Aboabo","Patrick ","07-19","41 - 50","Female","JHS/Middle","Seller ","Self-employed","1 -  5","1-10","Hand washing;Use of hand sanitisers","Agree","Agree","No","No","Yes","No","None","Not sure","No","","No","No","No","Not sure","No","","3","Neutral","Agree","Agree","No","","Yes","No","Bin","Neutral","2","Yes","Yes",""
"2023/07/19 1:27:23 PM GMT","PBD6","Aboabo","","07-19","41 - 50","Female","Primary","Self employed ","Self-employed","1 -  5","1-10","Hand washing","Strongly Agreee","Strongly Agree","No","Yes","Yes","No","","Contaminated food and water","No","","No","No","Yes","Death","Yes","","3","Strongly agree","Strongly agree","Agree","Yes","","Yes","Yes","Bin","Strongly agree","2","No","Yes",""
"2023/07/19 1:30:32 PM GMT","13","Aboabo","Nana Aba","04-17","21  - 30","Male","Tertiary","Service person","Government","6 -10","21-30","Hand washing;Use of hand sanitisers","Strongly Agreee","Strongly Agree","No","Yes","Yes","No","None","Not sure","No","","No","No","No","","No","","3","Agree","Agree","Neutral","Yes","Hand washing, using sanitizers","Yes","No","Bin","Agree","2","Yes","Yes",""
"2023/07/19 1:34:21 PM GMT","027","Aboabo","Patrick ","07-18","31 - 40","Male","Tertiary","Trader ","Self-employed","11-15","31-40","Hand washing;Use of hand sanitisers;Disinfection of surfaces","Strongly Agreee","Agree","No","Yes","Yes","No","None","Not sure","No","","No","No","No","Not sure","No","","4","Agree","Strongly agree","Strongly agree","Yes","Washing hands, using hand sanitizer ","","Yes","Bin","Strongly agree","1","Yes","Yes",""
"2023/07/19 1:36:35 PM GMT","13","Aboabo","Nana Aba ","05-10","51 - 60","Male","SHS","Tailor","Self-employed","16-20","Above 40","Hand washing","Strongly Agreee","Strongly Agree","No","Yes","Yes","No","None","Not sure","No","","No","No","No","","No","","3","Agree","Agree","Agree","Yes","","Yes","Yes","Bin","Strongly agree","1","Yes","Yes",""
"2023/07/19 1:37:14 PM GMT","PBD7","Aboabo","","07-19","31 - 40","Male","JHS/Middle","Self employed ","Self-employed","1 -  5","31-40","Hand washing","Agree","Agree","No","Yes","Yes","No","None","Contaminated food and water","Yes","","Yes","Yes","No","Not sure","No","","3","Agree","Strongly agree","Agree","Yes","","Yes","Yes","Bin","Strongly agree","2","Yes","Yes",""
"2023/07/19 1:44:22 PM GMT","032","Aboabo","Patrick ","07-19","41 - 50","Female","Primary","Trader","Self-employed","1 -  5","11-20","Hand washing;Use of hand sanitisers","Strongly Agreee","Strongly Agree","No","No","Yes","No","None","Contaminated food and water","No","","No","No","No","Not sure","No","","2","Agree","Agree","Agree","Yes","Washing hands, social distancing, wearing nose mask","Yes","No","Bin","Strongly agree","2","Yes","Yes",""
"2023/07/19 1:47:56 PM GMT","PBD8","Aboabo","","07-19","10 - 20","Male","SHS","Private ","Private Organization/Institution","6 -10","1-10","Hand washing","Agree","Strongly Agree","No","No","No","Yes","","Contaminated food and water","No","","No","No","No","Not sure","No","","2","Agree","Agree","Agree","Yes","","Yes","Yes","Backyard","Strongly agree","2","Yes","Yes",""
"2023/07/19 1:49:44 PM GMT","15","Aboabo","Nana Aba","04-06","41 - 50","Male","SHS","Dry cleaner","Self-employed","16-20","Above 40","Hand washing","Strongly Agreee","Agree","No","Yes","Yes","No","None","Contaminated food and water","No","","No","No","No","","No","","2","Agree","Strongly agree","Agree","Yes","Hand washing, using sanitizers","Yes","Yes","Bin","Strongly agree","2","Yes","No",""
"2023/07/19 1:52:17 PM GMT","035","Aboabo","Patrick ","07-19","41 - 50","Male","JHS/Middle","Barber","Self-employed","11-15","11-20","Hand washing;Use of hand sanitisers","Strongly Agreee","Strongly Agree","Yes","No","Yes","No","None","Contaminated food and water;Travel to high-risk areas","No","","No","No","No","Not sure","No","","2","Strongly agree","Agree","Agree","Yes","Hand washing, social distancing ","Yes","No","Anywhere","Strongly agree","3","Yes","Yes",""
"2023/07/19 1:59:52 PM GMT","16","Aboabo","Nana Aba","04-10","41 - 50","Female","JHS/Middle","Trader ","Self-employed","16-20","Above 40","Hand washing","Strongly Agreee","Strongly Agree","No","Yes","Yes","No","None","Not sure","No","","No","No","No","","No","","3","Agree","Strongly agree","Strongly agree","Yes","","Yes","Yes","Bin","Agree","2","Yes","Yes",""
"2023/07/19 1:59:55 PM GMT","038","Aboabo","Patrick ","07-19","21  - 30","Female","JHS/Middle","Trader","Self-employed","16-20","21-30","Hand washing;Use of hand sanitisers","Strongly Agreee","Strongly Agree","No","Yes","Yes","No","None","Not sure","No","","No","No","No","Not sure","No","","3","Strongly agree","Strongly agree","Strongly agree","Yes","Hand washing, sanitizer ","Yes","No","Bin","Strongly agree","2","Yes","Yes",""
"2023/07/19 2:01:10 PM GMT","PBD8","Aboabo","","07-19","21  - 30","Male","JHS/Middle","Self employed ","Self-employed","1 -  5","11-20","Use of hand sanitisers","Agree","Agree","No","Yes","Yes","No","None","Contaminated food and water","No","","No","No","Yes","Not sure","Yes","","3","Strongly agree","Agree","Strongly agree","Yes","","Yes","Yes","Bin","Agree","2","Yes","Yes",""
"2023/07/19 2:07:56 PM GMT","17","Aboabo","Nana Aba ","03-19","41 - 50","Female","No formal education","Seamstress ","Self-employed","6 -10","Above 40","Hand washing","Strongly Agreee","Strongly Agree","No","Yes","Yes","No","None","Contaminated food and water","No","","No","No","No","","Yes","","3","Agree","Agree","Agree","Yes","Hand washing","Yes","Yes","Bin","Agree","2","Yes","Yes",""
"2023/07/19 2:08:55 PM GMT","040","Aboabo","","07-19","21  - 30","Female","SHS","Semestress","Self-employed","16-20","1-10","Hand washing;Use of hand sanitisers","Strongly Agreee","Strongly Agree","No","No","Yes","No","None","Contaminated food and water","No","","No","No","No","Not sure","No","","1","Strongly agree","Strongly agree","Strongly agree","Yes","Hand washing, using hand sanitizers ","Yes","No","Bin","Strongly agree","2","Yes","Yes",""
"2023/07/19 2:15:28 PM GMT","PBD9","Aboabo","Paul ","07-19","51 - 60","Male","SHS","Self employed ","Self-employed","6 -10","Above 40","Use of hand sanitisers","Agree","Agree","No","No","Yes","No","None","Contaminated food and water","No","","No","No","No","Not sure","No","","3","Agree","Agree","Agree","No","","Yes","Yes","Bin","Agree","2","Yes","Yes",""
"2023/07/19 2:18:06 PM GMT","17","Aboabo","Nana Aba","06-11","51 - 60","Female","Primary","Trader","Self-employed","16-20","21-30","Hand washing;Use of hand sanitisers","Neutral","Neutral","No","Yes","Yes","No","None","Not sure","Yes","Doctor","No","No","No","","No","","3","Agree","Strongly agree","Neutral","Yes","Hand washing, sanitizers","No","No","Bin","Agree","2","Yes","Yes",""
"2023/07/19 2:18:19 PM GMT","044","Aboabo","Patrick ","07-19","31 - 40","Male","SHS","Fashion designer ","Self-employed","1 -  5","31-40","Hand washing;Use of hand sanitisers;Disinfection of surfaces","Strongly Agreee","Agree","No","Yes","Yes","No","None","Contaminated food and water","No","","No","No","No","Not sure","No","","1","Strongly agree","Strongly agree","Strongly agree","Yes","Hand washing, using hand sanitizer ","Yes","Yes","Bin","Strongly agree","1","Yes","Yes","Increase education "
"2023/07/19 2:23:55 PM GMT","18","Aboabo","Nana Aba","07-15","31 - 40","Female","JHS/Middle","Trader","Self-employed","16-20","11-20","Hand washing","Agree","Agree","No","Yes","Yes","No","None","Not sure","No","","No","No","No","Not sure","Yes","","2","Agree","Agree","Agree","Yes","Hand washing ","Yes","No","Bin","Agree","2","Yes","Yes",""
"2023/07/19 2:26:22 PM GMT","050","Aboabo","Patrick ","07-19","21  - 30","Male","JHS/Middle","Trader ","Self-employed","1 -  5","1-10","Hand washing;Use of hand sanitisers","Strongly Agreee","Neutral","No","No","Yes","No","None","Contaminated food and water","No","","No","No","No","Not sure","No","","2","Agree","Strongly agree","Strongly agree","Yes","Using hand sanitizer, washing hands with soup and water","Yes","No","Bin","Strongly agree","2","Yes","Yes",""
"2023/07/19 2:27:27 PM GMT","19","Aboabo","Nana Aba ","10-21","41 - 50","Male","SHS","Trader","Self-employed","11-15","Above 40","Hand washing","Agree","Agree","No","Yes","Yes","No","None","Not sure","No","","No","No","No","Not sure","No","","2","Agree","Agree","Neutral","Yes","Hand washing","Yes","No","Bin","Agree","2","Yes","Yes",""
"2023/07/19 2:28:42 PM GMT","PBD10","Aboabo","Paul ","07-19","31 - 40","Male","Tertiary","Self employed ","Self-employed","1 -  5","21-30","None","Neutral","Neutral","Yes","No","No","Yes","None","Contaminated food and water","No","Self-care","No","Yes","No","Not sure","No","","2","Agree","Agree","Agree","Yes","","No","","Bin","Agree","4","Yes","Yes",""
"2023/07/19 2:44:03 PM GMT","20","Aboabo","Nana Aba","07-19","31 - 40","Male","SHS","Tailor","Self-employed","11-15","11-20","Hand washing","Agree","Agree","No","Yes","Yes","No","None","Not sure","No","","No","No","No","Not sure","No","","2","Strongly agree","Strongly agree","Agree","Yes","Hand washing ","Yes","Yes","Bin","Agree","2","Yes","Yes",""
"2023/07/19 2:45:40 PM GMT","049","Aboabo","Patrick ","07-19","21  - 30","Male","SHS","Fashion designer ","Self-employed","1 -  5","1-10","Hand washing;Use of hand sanitisers;Disinfection of surfaces","Strongly Agreee","Disagree","No","No","Yes","No","None","Contaminated food and water","No","","No","No","No","Not sure","No","","3","Agree","Strongly agree","Strongly agree","No","","Yes","Yes","Bin","Agree","2","Yes","Yes",""
"2023/07/20 4:06:23 PM GMT","1","Anloga","Mabel","07-20","Above 0","Male","JHS/Middle","Steel bender ","Self-employed","16-20","31-40","Hand washing","Agree","Agree","No","No","No","No","None","Contaminated food and water","No","","No","No","No","Not sure","No","","2","Agree","Strongly agree","Strongly agree","Yes","Hand washing ","No","Yes","Bin","Agree","2","Yes","Yes","Hand washing "
"2023/07/20 4:19:54 PM GMT","2","Anloga","Mabel ","07-20","41 - 50","Female","No formal education","Trader","Unemployed","6 -10","11-20","Hand washing","Agree","Agree","No","No","Yes","No","None","Contaminated food and water","No","","No","No","No","Not sure","No","","3","Agree","Agree","Agree","Yes","Hand washing ","No","Yes","Bin","Agree","3","Yes","Yes","Hand washing "
"2023/07/20 5:48:13 PM GMT","3","Anloga","Mabel ","07-20","31 - 40","Female","No formal education","Trading ","Self-employed","1 -  5","1-10","Hand washing","Agree","Agree","No","No","Not sure","No","None","Contaminated food and water","No","","No","No","No","Not sure","No","","2","Disagree","Disagree","Agree","Yes","Hand washing ","No","Yes","Bin","Neutral","2","Yes","Yes","Hand washing "
"2023/07/20 5:56:37 PM GMT","4","Anloga","Mabel ","07-20","Above 0","Male","JHS/Middle","","","16-20","Above 40","Hand washing","Agree","Neutral","No","No","Yes","No","None","Not sure","No","","No","No","No","Not sure","No","","2","Agree","Neutral","Agree","Yes","Hand Sanitizer ","No","Yes","Bin","Agree","2","Yes","Yes","Hand Sanitizer "
"2023/07/20 6:02:31 PM GMT","5","Anloga","Mabel ","07-20","41 - 50","Male","Tertiary","Teaching ","Government","16-20","1-10","Use of hand sanitisers","Strongly Agreee","Strongly Agree","No","No","Yes","No","None","Contaminated food and water","No","","No","No","No","Not sure","No","","1","Strongly agree","Agree","Strongly agree","Yes","Use of hand sanitizer ","No","Yes","Bin","Strongly agree","2","Yes","Yes","Use if hand sanitizer "
"2023/07/20 8:35:24 PM GMT","6","Anloga","Mabel ","07-20","51 - 60","Female","No formal education","Food vendor ","Self-employed","1 -  5","Above 40","Hand washing","Agree","Agree","No","No","Yes","No","None","Contaminated food and water","No","","No","No","No","Not sure","No","","2","Agree","Agree","Agree","Yes","Hand washing ","No","Yes","Bin","Agree","2","Yes","Yes",""
"2023/07/21 6:54:06 AM GMT","7","Anloga","Mabel ","07-20","10 - 20","Male","JHS/Middle","","Unemployed","11-15","11-20","Hand washing","Agree","Agree","No","No","Yes","No","None","Contaminated food and water","No","","No","No","No","Not sure","No","","2","Agree","Agree","Agree","Yes","Hand washing ","No","Yes","Bin","Neutral","2","Yes","Yes","Hand washing "
"2023/07/21 7:00:05 AM GMT","7","Anloga","Mabel ","07-20","10 - 20","Male","JHS/Middle","","Unemployed","11-15","11-20","Hand washing","Strongly Agreee","Agree","No","No","Yes","No","None","Contaminated food and water","No","","No","No","No","Not sure","No","","2","Agree","Agree","Agree","Yes","Hand washing ","No","Yes","Bin","Agree","2","Yes","Yes",""
